item_id,reference_string,candidate_evidence_title,coder_label,coder_notes
R001,Reviewer #2 (Public review): Agent-based modeling reveals how bats navigate dense group emergences. CrossRef. 2026.,Reviewer #2 (Public review): Agent-based modeling reveals how bats navigate dense group emergences,,
R002,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2017.",Multi-agent systems: A survey,,
R003,"The next generation of research on IS use: A theoretical framework of delegation to and from agentic IS artifacts. A Baird, LM Maruping - MIS quarterly, 2021 - misq.umn.edu. 2021.",The agentic economy,,
R004,AI-based chatbots in customer service and their effects on user compliance. Electronic Markets. 2020.,Agentic AI for Customer Service and Contact Center Solutions,,
R005,CSMeD: Bridging the Dataset Gap in Automated Citation Screening for Systematic Literature Reviews. arXiv Preprint. 2023.,AI-Driven Data Analytics and Automation: A Systematic Literature Review of Industry Applications,,
R006,Scientific Evidence for Clinical Text Summarization Using Large Language Models: Scoping Review. Journal of Medical Internet Research. 2024.,Scientific Evidence for Clinical Text Summarization Using Large Language Models: Scoping Review,,
R007,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.",Multi-agent systems: A survey,,
R008,Time to challenge the spurious hierarchy of systematic over narrative reviews?. European Journal of Clinical Investigation. 2018.,Trends and Challenges in Water Governance Systematic Review and Bibliographic Study of Scientific Publications (2018–2025),,
R009,Multi-Agent-Based Information Retrieval System Using Information Scent in Query Log Mining for Effective Web Search. Information Retrieval and Management. 2018.,Multi-Agent-Based Information Retrieval System Using Information Scent in Query Log Mining for Effective Web Search,,
R010,"Multi-Agent AI Systems in Healthcare: Systematic Evidence Synthesis Via PRISMA of Clinical Decision Support Systems, Robotic Interventions, and Critical Care. International Journal of Latest Technology in Engineering Management & Applied Science. 2025.",Multi-Agent Based Decision Support Systems,,
R011,Electricity market design for the prosumer era. Nature Energy. 2016.,"Biophilic Design in the Built Environment: Trends, Gaps and Future Directions",,
R012,Automated MeSH Term Suggestion for Effective Query Formulation in Systematic Reviews Literature Search. arXiv Preprint. 2022.,MeSH Term Suggestion for Systematic Review Literature Search,,
R013,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.",Multi-agent systems: A survey,,
R014,Activating an evidence-based identity increases the impact of evidence on policymaker beliefs about local climate policies. Environmental Research: Climate. 2023.,Activating an evidence-based identity increases the impact of evidence on policymaker beliefs about local climate policies,,
R015,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.",Multi-agent systems: A survey,,
R016,"LABMATE: Language Model Based Multi-Agent System to Accelerate Catalysis Experiments. SC25-W: Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis. 2025.",MASCEM: Optimizing the performance of a multi-agent system,,
R017,"A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges. Vicinagearth. 2024.",Multi-agent systems: A survey,,
R018,Multi-Agent-Based Information Retrieval System Using Information Scent in Query Log Mining for Effective Web Search. Information Retrieval and Management. 2018.,The Multi-Agent System in Web Services,,
