normalised_key,reference,title_guess,occurrences,configs,status,matched_source,matched_title,identifier,similarity,errors
conversational agents in health care scoping review and conceptual analysis journal of medical internet research 2020,Conversational Agents in Health Care: Scoping Review and Conceptual Analysis. Journal of Medical Internet Research. 2020.,Conversational Agents in Health Care: Scoping Review and Conceptual Analysis,155,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Conversational Agents in Health Care: Scoping Review and Conceptual Analysis,10.2196/17158,1.0,
fedmd heterogenous federated learning via model distillation arxiv cornell university 2019,FedMD: Heterogenous Federated Learning via Model Distillation. arXiv (Cornell University). 2019.,FedMD: Heterogenous Federated Learning via Model Distillation,126,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,OpenAlex,FedMD: Heterogenous Federated Learning via Model Distillation,https://doi.org/10.48550/arxiv.1910.03581,1.0,
semisupervised deep reinforcement learning in support of iot and smart city services ieee internet of things journal 2017,Semisupervised Deep Reinforcement Learning in Support of IoT and Smart City Services. IEEE Internet of Things Journal. 2017.,Semisupervised Deep Reinforcement Learning in Support of IoT and Smart City Services,117,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Semisupervised Deep Reinforcement Learning in Support of IoT and Smart City Services,10.1109/jiot.2017.2712560,1.0,
open synthesis and the coronavirus pandemic in 2020 journal of clinical epidemiology 2020,Open synthesis and the coronavirus pandemic in 2020. Journal of Clinical Epidemiology. 2020.,Open synthesis and the coronavirus pandemic in 2020,68,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Open synthesis and the coronavirus pandemic in 2020,10.1016/j.jclinepi.2020.06.032,1.0,
time to challenge the spurious hierarchy of systematic over narrative reviews european journal of clinical investigation 2018,Time to challenge the spurious hierarchy of systematic over narrative reviews?. European Journal of Clinical Investigation. 2018.,Time to challenge the spurious hierarchy of systematic over narrative reviews?,66,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Time to challenge the spurious hierarchy of systematic over narrative reviews?,10.1111/eci.12931,1.0,
researchers perspectives on industry 4 0 multi disciplinary analysis and opportunities for operations management international journal of production research 2020,Researchers' perspectives on Industry 4.0: multi-disciplinary analysis and opportunities for operations management. International Journal of Production Research. 2020.,Researchers' perspectives on Industry 4.0: multi-disciplinary analysis and opportunities for operations management,41,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Researchers' perspectives on Industry 4.0: multi-disciplinary analysis and opportunities for operations management,10.1080/00207543.2020.1798035,1.0,
testing the utility of gpt for title and abstract screening in environmental systematic evidence synthesis environmental evidence 2025,Testing the utility of GPT for title and abstract screening in environmental systematic evidence synthesis. Environmental Evidence. 2025.,Testing the utility of GPT for title and abstract screening in environmental systematic evidence synthesis,37,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,Testing the utility of GPT for title and abstract screening in environmental systematic evidence synthesis,10.1186/s13750-025-00360-x,1.0,
the next generation of research on is use a theoretical framework of delegation to and from agentic is artifacts a baird lm maruping mis quarterly 2021 misq umn edu 2021,"The next generation of research on IS use: A theoretical framework of delegation to and from agentic IS artifacts. A Baird, LM Maruping - MIS quarterly, 2021 - misq.umn.edu. 2021.",The next generation of research on IS use: A theoretical framework of delegation to and from agentic IS artifacts,33,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,The Next Generation of Research on IS Use: A Theoretical Framework of Delegation to and from Agentic IS Artifacts,10.25300/misq/2021/15882,1.0,
retrieve summarize and verify how will chatgpt affect information seeking from the medical literature journal of the american society of nephrology 2023,"Retrieve, Summarize, and Verify: How Will ChatGPT Affect Information Seeking from the Medical Literature?. Journal of the American Society of Nephrology. 2023.","Retrieve, Summarize, and Verify: How Will ChatGPT Affect Information Seeking from the Medical Literature?",31,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,"Retrieve, Summarize, and Verify: How Will ChatGPT Affect Information Seeking from the Medical Literature?",10.1681/asn.0000000000000166,1.0,
a systematic literature review of retrieval augmented generation techniques metrics and challenges big data and cognitive computing 2025,"A Systematic Literature Review of Retrieval-Augmented Generation: Techniques, Metrics, and Challenges. Big Data and Cognitive Computing. 2025.","A Systematic Literature Review of Retrieval-Augmented Generation: Techniques, Metrics, and Challenges",30,M1|M2a|M2b|M2c,verified_genuine_but_unretrieved,Crossref,"A Systematic Literature Review of Retrieval-Augmented Generation: Techniques, Metrics, and Challenges",10.3390/bdcc9120320,1.0,
