"pair_id","independent_human_label","single_agent_label","arl_label"
"TM001","nonmatch","nonmatch","nonmatch"
"TM002","match","match","match"
"TM003","nonmatch","nonmatch","nonmatch"
"TM004","nonmatch","nonmatch","nonmatch"
"TM005","match","match","match"
"TM006","match","match","match"
"TM007","match","match","match"
"TM008","nonmatch","nonmatch","nonmatch"
"TM009","nonmatch","nonmatch","nonmatch"
"TM010","match","match","match"
"TM011","nonmatch","nonmatch","nonmatch"
"TM012","nonmatch","nonmatch","nonmatch"
"TM013","nonmatch","nonmatch","nonmatch"
"TM014","match","match","match"
"TM015","match","match","match"
"TM016","match","match","match"
"TM017","nonmatch","nonmatch","nonmatch"
"TM018","match","match","match"
"TM019","match","match","match"
"TM020","nonmatch","nonmatch","nonmatch"
"TM021","match","match","match"
"TM022","nonmatch","nonmatch","nonmatch"
"TM023","nonmatch","nonmatch","nonmatch"
"TM024","nonmatch","nonmatch","nonmatch"
"TM025","nonmatch","match","nonmatch"
"TM026","nonmatch","match","nonmatch"
"TM027","nonmatch","nonmatch","nonmatch"
"TM028","match","match","match"
"TM029","match","match","match"
"TM030","nonmatch","nonmatch","nonmatch"
"TM031","match","match","match"
"TM032","nonmatch","nonmatch","nonmatch"
"TM033","nonmatch","nonmatch","nonmatch"
"TM034","match","match","match"
"TM035","match","match","match"
"TM036","nonmatch","nonmatch","nonmatch"
"TM037","nonmatch","nonmatch","nonmatch"
"TM038","nonmatch","match","nonmatch"
"TM039","nonmatch","nonmatch","nonmatch"
"TM040","match","match","match"
"TM041","nonmatch","nonmatch","nonmatch"
"TM042","nonmatch","nonmatch","nonmatch"
"TM043","nonmatch","match","nonmatch"
"TM044","match","match","match"
"TM045","match","match","match"
"TM046","match","match","match"
"TM047","nonmatch","nonmatch","nonmatch"
"TM048","nonmatch","nonmatch","nonmatch"
"TM049","nonmatch","nonmatch","nonmatch"
"TM050","nonmatch","nonmatch","nonmatch"
"TM051","nonmatch","nonmatch","nonmatch"
"TM052","match","match","match"
"TM053","nonmatch","nonmatch","nonmatch"
"TM054","nonmatch","nonmatch","nonmatch"
"TM055","match","match","match"
"TM056","nonmatch","nonmatch","nonmatch"
"TM057","match","match","nonmatch"
"TM058","match","match","match"
"TM059","nonmatch","nonmatch","nonmatch"
"TM060","match","match","match"
"TM061","match","match","match"
"TM062","match","match","match"
"TM063","nonmatch","nonmatch","nonmatch"
"TM064","match","match","match"
"TM065","nonmatch","nonmatch","nonmatch"
"TM066","nonmatch","nonmatch","nonmatch"
"TM067","nonmatch","nonmatch","nonmatch"
"TM068","nonmatch","nonmatch","nonmatch"
"TM069","match","match","match"
"TM070","nonmatch","nonmatch","nonmatch"
"TM071","match","match","match"
"TM072","match","match","match"
"TM073","match","match","match"
"TM074","match","match","match"
"TM075","nonmatch","nonmatch","nonmatch"
"TM076","nonmatch","nonmatch","nonmatch"
"TM077","nonmatch","nonmatch","nonmatch"
"TM078","nonmatch","nonmatch","nonmatch"
"TM079","nonmatch","nonmatch","nonmatch"
"TM080","match","match","match"
"TM081","match","match","match"
"TM082","nonmatch","nonmatch","nonmatch"
"TM083","nonmatch","nonmatch","nonmatch"
"TM084","match","match","match"
"TM085","match","match","match"
"TM086","match","match","match"
"TM087","match","match","match"
"TM088","nonmatch","nonmatch","nonmatch"
"TM089","nonmatch","nonmatch","nonmatch"
"TM090","nonmatch","nonmatch","nonmatch"
"TM091","nonmatch","nonmatch","nonmatch"
"TM092","match","match","match"
"TM093","match","match","match"
"TM094","match","match","match"
"TM095","nonmatch","nonmatch","nonmatch"
"TM096","nonmatch","nonmatch","nonmatch"
"TM097","match","match","match"
"TM098","nonmatch","nonmatch","nonmatch"
"TM099","match","match","match"
"TM100","nonmatch","match","nonmatch"
"TM101","nonmatch","nonmatch","nonmatch"
"TM102","nonmatch","nonmatch","nonmatch"
"TM103","match","match","match"
"TM104","match","match","match"
"TM105","match","match","match"
"TM106","match","match","match"
"TM107","match","match","match"
"TM108","match","match","match"
"TM109","nonmatch","nonmatch","nonmatch"
"TM110","nonmatch","nonmatch","nonmatch"
"TM111","match","match","match"
"TM112","match","match","match"
"TM113","match","match","match"
"TM114","nonmatch","nonmatch","nonmatch"
"TM115","nonmatch","nonmatch","nonmatch"
"TM116","nonmatch","nonmatch","nonmatch"
"TM117","nonmatch","match","nonmatch"
"TM118","nonmatch","nonmatch","nonmatch"
"TM119","match","match","match"
"TM120","match","match","match"
"TM121","match","match","match"
"TM122","nonmatch","nonmatch","nonmatch"
"TM123","match","match","match"
"TM124","nonmatch","nonmatch","nonmatch"
"TM125","match","match","match"
"TM126","nonmatch","nonmatch","nonmatch"
"TM127","nonmatch","nonmatch","nonmatch"
"TM128","nonmatch","nonmatch","nonmatch"
"TM129","nonmatch","nonmatch","nonmatch"
"TM130","match","match","match"
"TM131","match","match","match"
"TM132","nonmatch","nonmatch","nonmatch"
"TM133","nonmatch","nonmatch","nonmatch"
"TM134","nonmatch","nonmatch","nonmatch"
"TM135","nonmatch","nonmatch","nonmatch"
"TM136","nonmatch","nonmatch","nonmatch"
"TM137","match","match","match"
"TM138","match","match","match"
"TM139","nonmatch","nonmatch","nonmatch"
"TM140","nonmatch","nonmatch","nonmatch"
"TM141","match","match","match"
"TM142","nonmatch","nonmatch","nonmatch"
"TM143","match","match","match"
"TM144","nonmatch","nonmatch","nonmatch"
"TM145","nonmatch","nonmatch","nonmatch"
"TM146","nonmatch","nonmatch","nonmatch"
"TM147","nonmatch","nonmatch","nonmatch"
"TM148","nonmatch","nonmatch","nonmatch"
"TM149","match","match","match"
"TM150","nonmatch","nonmatch","nonmatch"
"TM151","match","match","match"
"TM152","nonmatch","match","nonmatch"
"TM153","nonmatch","nonmatch","nonmatch"
"TM154","nonmatch","nonmatch","nonmatch"
"TM155","match","match","match"
"TM156","match","match","match"
"TM157","match","match","match"
"TM158","match","match","match"
"TM159","match","match","match"
"TM160","nonmatch","nonmatch","nonmatch"
"TM161","nonmatch","nonmatch","nonmatch"
"TM162","nonmatch","nonmatch","nonmatch"
"TM163","nonmatch","nonmatch","nonmatch"
"TM164","nonmatch","nonmatch","nonmatch"
"TM165","nonmatch","nonmatch","nonmatch"
