qid,citation_precision,bibliography_match_rate,orphan_rate,text_orphans,uncited_bibliography_entries,release,reasons,elapsed_seconds,path
Q01,1.0,1.0,0.0,0,0,pass,,13.558,data\expanded_outputs\schema_single_agent_v1\Q01_schema_single_agent_20260724_022240.md
Q02,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,13.796,data\expanded_outputs\schema_single_agent_v1\Q02_schema_single_agent_20260724_022609.md
Q03,1.0,1.0,0.0,0,0,pass,,14.181,data\expanded_outputs\schema_single_agent_v1\Q03_schema_single_agent_20260724_022609.md
Q04,1.0,1.0,0.0,0,0,pass,,16.393,data\expanded_outputs\schema_single_agent_v1\Q04_schema_single_agent_20260724_022611.md
Q05,1.0,1.0,0.0,0,0,pass,,16.07,data\expanded_outputs\schema_single_agent_v1\Q05_schema_single_agent_20260724_022611.md
Q06,1.0,1.0,0.0,0,0,pass,,16.098,data\expanded_outputs\schema_single_agent_v1\Q06_schema_single_agent_20260724_022611.md
Q07,1.0,1.0,0.0,0,0,pass,,18.122,data\expanded_outputs\schema_single_agent_v1\Q07_schema_single_agent_20260724_022633.md
Q08,1.0,1.0,0.25,0,2,block,uncited_bibliography_entry,14.284,data\expanded_outputs\schema_single_agent_v1\Q08_schema_single_agent_20260724_022629.md
Q09,1.0,1.0,0.0,0,0,pass,,18.314,data\expanded_outputs\schema_single_agent_v1\Q09_schema_single_agent_20260724_022629.md
Q10,1.0,1.0,0.0,0,0,pass,,20.733,data\expanded_outputs\schema_single_agent_v1\Q10_schema_single_agent_20260724_022636.md
Q11,1.0,1.0,0.0,0,0,pass,,14.181,data\expanded_outputs\schema_single_agent_v1\Q11_schema_single_agent_20260724_022629.md
Q12,1.0,1.0,0.0,0,0,pass,,14.159,data\expanded_outputs\schema_single_agent_v1\Q12_schema_single_agent_20260724_022643.md
Q13,1.0,1.0,0.0,0,0,pass,,16.184,data\expanded_outputs\schema_single_agent_v1\Q13_schema_single_agent_20260724_022645.md
Q14,1.0,1.0,0.0,0,0,pass,,16.203,data\expanded_outputs\schema_single_agent_v1\Q14_schema_single_agent_20260724_022646.md
Q15,1.0,1.0,0.0,0,0,pass,,12.172,data\expanded_outputs\schema_single_agent_v1\Q15_schema_single_agent_20260724_022645.md
Q16,1.0,1.0,0.0,0,0,pass,,14.053,data\expanded_outputs\schema_single_agent_v1\Q16_schema_single_agent_20260724_022650.md
Q17,1.0,1.0,0.0,0,0,pass,,24.827,data\expanded_outputs\schema_single_agent_v1\Q17_schema_single_agent_20260724_022708.md
Q18,1.0,1.0,0.0,0,0,pass,,22.104,data\expanded_outputs\schema_single_agent_v1\Q18_schema_single_agent_20260724_022708.md
Q19,1.0,1.0,0.25,0,2,block,uncited_bibliography_entry,12.808,data\expanded_outputs\schema_single_agent_v1\Q19_schema_single_agent_20260724_022658.md
Q20,1.0,1.0,0.0,0,0,pass,,19.16,data\expanded_outputs\schema_single_agent_v1\Q20_schema_single_agent_20260724_022705.md
Q21,1.0,1.0,0.5,0,4,block,uncited_bibliography_entry,17.61,data\expanded_outputs\schema_single_agent_v1\Q21_schema_single_agent_20260724_022708.md
Q22,1.0,1.0,0.0,0,0,pass,,26.278,data\expanded_outputs\schema_single_agent_v1\Q22_schema_single_agent_20260724_022725.md
Q23,1.0,1.0,0.0,0,0,pass,,16.074,data\expanded_outputs\schema_single_agent_v1\Q23_schema_single_agent_20260724_022721.md
Q24,1.0,1.0,0.0,0,0,pass,,17.353,data\expanded_outputs\schema_single_agent_v1\Q24_schema_single_agent_20260724_022725.md
Q25,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,17.049,data\expanded_outputs\schema_single_agent_v1\Q25_schema_single_agent_20260724_022725.md
Q26,1.0,1.0,0.0,0,0,pass,,14.265,data\expanded_outputs\schema_single_agent_v1\Q26_schema_single_agent_20260724_022722.md
Q27,1.0,1.0,0.0,0,0,pass,,24.048,data\expanded_outputs\schema_single_agent_v1\Q27_schema_single_agent_20260724_022745.md
Q28,1.0,1.0,0.0,0,0,pass,,17.928,data\expanded_outputs\schema_single_agent_v1\Q28_schema_single_agent_20260724_022740.md
Q29,1.0,1.0,0.0,0,0,pass,,13.523,data\expanded_outputs\schema_single_agent_v1\Q29_schema_single_agent_20260724_022738.md
Q30,1.0,1.0,0.0,0,0,pass,,15.801,data\expanded_outputs\schema_single_agent_v1\Q30_schema_single_agent_20260724_022740.md
Q31,1.0,1.0,0.0,0,0,pass,,17.012,data\expanded_outputs\schema_single_agent_v1\Q31_schema_single_agent_20260724_022742.md
Q32,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,20.743,data\expanded_outputs\schema_single_agent_v1\Q32_schema_single_agent_20260724_022759.md
Q33,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,14.282,data\expanded_outputs\schema_single_agent_v1\Q33_schema_single_agent_20260724_022754.md
Q34,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,14.864,data\expanded_outputs\schema_single_agent_v1\Q34_schema_single_agent_20260724_022755.md
Q35,1.0,1.0,0.0,0,0,pass,,16.952,data\expanded_outputs\schema_single_agent_v1\Q35_schema_single_agent_20260724_022759.md
Q36,1.0,1.0,0.0,0,0,pass,,17.82,data\expanded_outputs\schema_single_agent_v1\Q36_schema_single_agent_20260724_022803.md
Q37,1.0,1.0,0.375,0,3,block,uncited_bibliography_entry,14.956,data\expanded_outputs\schema_single_agent_v1\Q37_schema_single_agent_20260724_022809.md
Q38,1.0,1.0,0.0,0,0,pass,,21.266,data\expanded_outputs\schema_single_agent_v1\Q38_schema_single_agent_20260724_022817.md
Q39,1.0,1.0,0.125,0,1,block,uncited_bibliography_entry,17.079,data\expanded_outputs\schema_single_agent_v1\Q39_schema_single_agent_20260724_022816.md
Q40,1.0,1.0,0.0,0,0,pass,,13.369,data\expanded_outputs\schema_single_agent_v1\Q40_schema_single_agent_20260724_022812.md
Q41,1.0,1.0,0.25,0,2,block,uncited_bibliography_entry,13.791,data\expanded_outputs\schema_single_agent_v1\Q41_schema_single_agent_20260724_022817.md
