pair_id,query_id,domain,gold_label,single_label,arl_analyst_label,arl_critic_label,arl_final_label,single_correct,arl_correct,reference_string,candidate_evidence_title,elapsed_seconds
TM001,Q181,biomedical_evidence_synthesis,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,"Strategies used for childhood chronic functional constipation: the SUCCESS evidence synthesis.. Health technology assessment (Winchester, England). 2024.",Evidence Synthesis Methods,20.467
TM002,Q89,multi_agent_information_services,match,match,match,nonmatch,match,True,True,What factors contribute to the acceptance of artificial intelligence? A systematic review. Telematics and Informatics. 2022.,What factors contribute to the acceptance of artificial intelligence? A systematic review,22.792
TM003,Q41,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Joint Secure Offloading and Resource Allocation for Vehicular Edge Computing Network: A Multi-Agent Deep Reinforcement Learning Approach. IEEE Transactions on Intelligent Transportation Systems. 2023.,Multi-agent systems: A survey,17.898
TM004,Q123,digital_humanities,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Testing the utility of GPT for title and abstract screening in environmental systematic evidence synthesis. Environmental Evidence. 2025.,Trials and Evidence Synthesis,20.969
TM005,Q237,climate_policy_research,match,match,match,match,match,True,True,Editorial: Evidence synthesis for accelerated learning on climate solutions. Campbell Systematic Reviews. 2020.,Editorial: Evidence synthesis for accelerated learning on climate solutions,35.617
TM006,Q16,multi_agent_information_services,match,match,match,match,match,True,True,"The next generation of research on IS use: A theoretical framework of delegation to and from agentic IS artifacts. A Baird, LM Maruping - MIS quarterly, 2021 - misq.umn.edu. 2021.",The next generation of research on IS use: A theoretical framework of delegation to and from agentic IS artifacts,13.136
TM007,Q122,digital_humanities,match,match,match,match,match,True,True,Time to challenge the spurious hierarchy of systematic over narrative reviews?. European Journal of Clinical Investigation. 2018.,Time to challenge the spurious hierarchy of systematic over narrative reviews?,19.491
TM008,Q129,digital_humanities,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,"The impacts of decentralization on health system equity, efficiency and resilience: a realist synthesis of the evidence. Health Policy and Planning. 2019.",Trials and Evidence Synthesis,19.346999999999998
TM009,Q26,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Joint Secure Offloading and Resource Allocation for Vehicular Edge Computing Network: A Multi-Agent Deep Reinforcement Learning Approach. IEEE Transactions on Intelligent Transportation Systems. 2023.,Multi-agent systems: A survey,17.255
TM010,Q55,multi_agent_information_services,match,match,match,match,match,True,True,Agent-Diff: Benchmarking LLM Agents on Enterprise API Tasks via Code Execution with State-Diff-Based Evaluation. arXiv Preprint. 2026.,Agent-Diff: Benchmarking LLM Agents on Enterprise API Tasks via Code Execution with State-Diff-Based Evaluation,13.892
TM011,Q30,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,Multi-Agent-Based Information Retrieval System Using Information Scent in Query Log Mining for Effective Web Search. Information Retrieval and Management. 2018.,The Multi-Agent System in Web Services,24.661
TM012,Q104,multi_agent_information_services,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.",Multi-agent monitoring information systems,16.424
TM013,Q112,digital_humanities,nonmatch,nonmatch,nonmatch,nonmatch,nonmatch,True,True,The future of ChatGPT in academic research and publishing: A commentary for <i>clinical and translational medicine</i>. Clinical and Translational Medicine. 2023.,The use of foundational ontologies in biomedical research.,18.978
TM014,Q169,biomedical_evidence_synthesis,match,match,match,match,match,True,True,Interventions to improve referrals from primary care to outpatient specialist services for chronic conditions: a systematic review and framework synthesis update. Systematic Reviews. 2025.,Interventions to improve referrals from primary care to outpatient specialist services for chronic conditions: a systematic review and framework synthesis update,17.515
TM015,Q42,multi_agent_information_services,match,match,match,match,match,True,True,"A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing. arXiv Preprint. 2026.","A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing",21.733000000000004
