qno,qid,system,paper_label,source_file,citation_precision,bibliography_match_rate,orphan_rate,total_citations,bibliography_entries,source_length_chars,mean_credibility,rank_first_pct
1,Q02,A,M1,data\expanded_outputs\method1\Q02_method1_exp_20260412_223955.md,0.625,0.625,0.375,8,8,3575,4.066666666666666,0.43333333333333335
1,Q02,B,M2b,data\expanded_outputs\method2b\Q02_method2b_exp_20260412_225529.md,0.625,0.625,0.375,8,8,2269,4.066666666666666,0.3333333333333333
1,Q02,C,M2a,data\expanded_outputs\method2a\Q02_method2a_exp_20260412_224825.md,0.5,0.5,0.5,8,8,2769,4.0,0.23333333333333334
2,Q233,A,M1,data\expanded_outputs\method1\Q233_method1_exp_20260413_113421.md,0.5,0.5,0.5,8,8,3137,3.4,0.13333333333333333
2,Q233,B,M2b,data\expanded_outputs\method2b\Q233_method2b_exp_20260413_211358.md,0.25,0.25,0.75,8,8,3246,3.8666666666666667,0.2
2,Q233,C,M2a,data\expanded_outputs\method2a\Q233_method2a_exp_20260413_171619.md,0.5,0.5,0.5,8,8,3067,4.9,0.6666666666666666
3,Q12,A,M1,data\expanded_outputs\method1\Q12_method1_exp_20260412_225701.md,1.0,1.0,0.25,6,8,3384,3.933333333333333,0.3
3,Q12,B,M2b,data\expanded_outputs\method2b\Q12_method2b_exp_20260412_233225.md,1.0,1.0,0.0,8,8,2932,4.5,0.4
3,Q12,C,M2a,data\expanded_outputs\method2a\Q12_method2a_exp_20260412_231841.md,1.0,1.0,0.0,8,8,3199,3.9,0.3
4,Q183,A,M1,data\expanded_outputs\method1\Q183_method1_exp_20260413_100719.md,0.75,0.75,0.25,8,8,3292,4.1,0.16666666666666666
4,Q183,B,M2b,data\expanded_outputs\method2b\Q183_method2b_exp_20260413_170406.md,0.75,0.75,0.25,8,8,2868,4.366666666666666,0.3
4,Q183,C,M2a,data\expanded_outputs\method2a\Q183_method2a_exp_20260413_143412.md,0.75,0.75,0.25,8,8,3608,4.433333333333334,0.5333333333333333
5,Q129,A,M1,data\expanded_outputs\method1\Q129_method1_exp_20260413_084301.md,0.5,0.5,0.5,8,8,2920,4.233333333333333,0.43333333333333335
5,Q129,B,M2b,data\expanded_outputs\method2b\Q129_method2b_exp_20260413_131341.md,0.5,0.5,0.5,8,8,2418,3.8,0.2
5,Q129,C,M2a,data\expanded_outputs\method2a\Q129_method2a_exp_20260413_112850.md,0.5,0.5,0.5,8,8,2449,4.266666666666667,0.36666666666666664
6,Q184,A,M1,data\expanded_outputs\method1\Q184_method1_exp_20260413_100918.md,0.5,0.5,0.5,8,8,3245,4.133333333333334,0.4
6,Q184,B,M2b,data\expanded_outputs\method2b\Q184_method2b_exp_20260413_170925.md,0.5,0.5,0.5,8,8,2651,3.7,0.23333333333333334
6,Q184,C,M2a,data\expanded_outputs\method2a\Q184_method2a_exp_20260413_143701.md,0.5,0.5,0.5,8,8,3150,4.433333333333334,0.36666666666666664
7,Q229,A,M1,data\expanded_outputs\method1\Q229_method1_exp_20260413_112724.md,0.5,0.5,0.5,8,8,3000,3.8333333333333335,0.16666666666666666
7,Q229,B,M2b,data\expanded_outputs\method2b\Q229_method2b_exp_20260413_201044.md,0.5,0.5,0.5,8,8,2561,4.366666666666666,0.4
7,Q229,C,M2a,data\expanded_outputs\method2a\Q229_method2a_exp_20260413_170435.md,0.5,0.5,0.5,8,8,2819,3.933333333333333,0.43333333333333335
8,Q133,A,M1,data\expanded_outputs\method1\Q133_method1_exp_20260413_084756.md,0.875,0.875,0.125,8,8,3062,4.066666666666666,0.3333333333333333
8,Q133,B,M2b,data\expanded_outputs\method2b\Q133_method2b_exp_20260413_132812.md,0.875,0.875,0.125,8,8,2820,4.1,0.3
8,Q133,C,M2a,data\expanded_outputs\method2a\Q133_method2a_exp_20260413_114122.md,0.5,0.5,0.5,8,8,2436,3.566666666666667,0.36666666666666664
9,Q064,A,M1,data\expanded_outputs\method1\Q064_method1_exp_20260413_002324.md,0.625,0.625,0.375,8,8,3803,3.4,0.2
9,Q064,B,M2b,data\expanded_outputs\method2b\Q064_method2b_exp_20260413_090950.md,0.625,0.625,0.375,8,8,3232,4.266666666666667,0.2
9,Q064,C,M2a,data\expanded_outputs\method2a\Q064_method2a_exp_20260413_083202.md,0.625,0.625,0.375,8,8,3341,4.933333333333334,0.6
10,Q121,A,M1,data\expanded_outputs\method1\Q121_method1_exp_20260413_083337.md,0.5,0.5,0.5,8,8,3061,4.266666666666667,0.4
10,Q121,B,M2b,data\expanded_outputs\method2b\Q121_method2b_exp_20260413_123253.md,0.5,0.5,0.5,8,8,2598,4.133333333333334,0.3
10,Q121,C,M2a,data\expanded_outputs\method2a\Q121_method2a_exp_20260413_110451.md,0.5,0.5,0.5,8,8,2677,4.3,0.3
