"case_type","pair_id","gold_label","single_label","arl_analyst_label","arl_critic_label","arl_final_label","reference_string","candidate_title","single_correct","arl_correct","analyst_raw","critic_raw","adjudicator_raw"
"arl_wrong","TM025","match","match","match","nonmatch","nonmatch","Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.","Multi-agent systems: A survey","True","False","{""label"":""match"",""evidence"":""Candidate title is identical to the title in the reference record."",""risk"":""none""}","{
  ""label"": ""nonmatch"",
  ""challenge"": ""The candidate title lacks the authors and publication year, which are essential for distinguishing it from other works with the same title."",
  ""confidence"": ""high""
}","{""label"":""nonmatch"",""reason"":""The candidate lacks authors and publication year, so it is not uniquely identifiable as the 2018 IEEE Access article by Dorri et al.""}"
"arl_wrong","TM026","match","match","match","nonmatch","nonmatch","Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.","Multi-agent systems: A survey","True","False","{""label"":""match"", ""evidence"":""Candidate title exactly matches the title in the reference record. The reference record includes authors, journal, and year, which uniquely identifies the publication."", ""risk"":""Title alone could be ambiguous, but reference record disambiguates.""}","{
  ""label"": ""nonmatch"",
  ""challenge"": ""The candidate title lacks the authors, journal, and year information which are crucial for disambiguating between different publications with similar titles. Without this information, the match cannot be confirmed as the same publication."",
  ""confidence"": ""high""
}","{""label"":""nonmatch"", ""reason"":""Candidate title matches the reference title but lacks author and year, making it insufficient to confirm the same bibliographic identity, as other works could share the same title.""}"
"arl_wrong","TM038","match","match","match","nonmatch","nonmatch","Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2017.","Multi-agent systems: A survey","True","False","{""label"":""match"", ""evidence"":""The candidate title 'Multi-agent systems: A survey' is exactly the same as the title in the reference record."", ""risk"":""None, exact match.""}","{
  ""label"": ""nonmatch"",
  ""challenge"": ""The candidate title lacks the authors and publication year, which are crucial for distinguishing it from other works with the same title. Without this information, it's not possible to confirm that the candidate is the same publication as the reference."",
  ""confidence"": ""high""
}","{""label"":""nonmatch"", ""reason"":""The candidate title is common and could refer to multiple works; without authors, year, or other identifiers, it cannot be confirmed as the same publication as the reference.""}"
"arl_wrong","TM043","match","match","match","nonmatch","nonmatch","Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.","Multi-agent systems: A survey","True","False","{""label"":""match"", ""evidence"":""Titles are identical: 'Multi-agent systems: A survey'."", ""risk"":""None, exact match.""}","{
  ""label"": ""nonmatch"",
  ""challenge"": ""The candidate title lacks author and publication year information, which are crucial for distinguishing between different publications with similar titles."",
  ""confidence"": ""high""
}","{""label"":""nonmatch"", ""reason"":""The candidate title alone lacks author and publication year, making it impossible to confirm it refers to the same 2018 IEEE Access survey rather than another work with the same title.""}"
"arl_wrong","TM057","match","match","match","nonmatch","nonmatch","Multi-Agent AI Systems in Healthcare: Systematic Evidence Synthesis Via PRISMA of Clinical Decision Support Systems, Robotic Interventions, and Critical Care. International Journal of Latest Technology in Engineering Management & Applied Science. 2025.","Multi-Agent AI Systems in Healthcare: Systematic Evidence Synthesis Via PRISMA of Clinical Decision Support Systems, Robotic Interventions, and Critical Care","True","False","{""label"":""match"", ""evidence"":""Candidate title is identical to the title in the reference record."", ""risk"":""none""}","{
  ""label"": ""nonmatch"",
  ""challenge"": ""The candidate title is missing the journal name 'International Journal of Latest Technology in Engineering Management & Applied Science', which is a critical part of identifying the exact publication."",
  ""confidence"": ""high""
}","{""label"":""nonmatch"", ""reason"":""The candidate title lacks the journal and year, making it impossible to confirm it refers to the same specific publication.""}"
"both_wrong","TM077","match","nonmatch","nonmatch","nonmatch","nonmatch","A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges. Vicinagearth. 2024.","Multi-agent systems: A survey","False","False","{""label"":""nonmatch"", ""evidence"":""The reference specifically surveys LLM-based multi-agent systems with workflow, infrastructure, and challenges, while the candidate is a generic survey on multi-agent systems without the LLM context."", ""risk"":""No ambiguity; the candidate omits the crucial LLM-based aspect and specific subtopics.""}","{
  ""label"": ""nonmatch"",
  ""challenge"": ""The reference record specifies a survey on LLM-based multi-agent systems, including details on workflow, infrastructure, and challenges. The candidate title is a generic survey on multi-agent systems without any mention of LLM-based systems or the specific subtopics covered in the reference."",
  ""confidence"": ""high""
}","{""label"":""nonmatch"", ""reason"":""The reference is a survey on LLM-based multi-agent systems with specific subtopics, while the candidate is a generic survey on multi-agent systems without LLM focus.""}"
"arl_wrong","TM100","match","match","match","nonmatch","nonmatch","Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.","Multi-agent systems: A survey","True","False","{""label"":""match"", ""evidence"":""The candidate title is identical to the title in the reference record."", ""risk"":""Generic title could match other surveys, but with no conflicting details it directly corresponds to the provided reference.""}","{
  ""label"": ""nonmatch"",
  ""challenge"": ""The candidate title lacks specific details such as authors and publication year, which are crucial for distinguishing it from other surveys on the same topic."",
  ""confidence"": ""high""
}","{""label"":""nonmatch"", ""reason"":""The candidate title lacks authors and year, making it indistinguishable from other surveys with the same generic title, so it cannot be confirmed as the specific 2018 Dorri et al. publication.""}"
"arl_wrong","TM117","match","match","match","nonmatch","nonmatch","Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.","Multi-agent systems: A survey","True","False","{""label"":""match"", ""evidence"":""The candidate title 'Multi-agent systems: A survey' matches the reference title exactly, including the same wording and structure."", ""risk"":""none""}","{
  ""label"": ""nonmatch"",
  ""challenge"": ""The candidate title lacks the authors' names and the publication year, which are crucial for distinguishing it from other works with the same title. Without this information, the match is not unambiguous."",
  ""confidence"": ""high""
}","{""label"":""nonmatch"", ""reason"":""The bare title 'Multi-agent systems: A survey' is too generic to unambiguously identify the specific 2018 work by Dorri et al., as many publications may share the same title.""}"
"arl_wrong","TM152","match","match","match","nonmatch","nonmatch","Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.","Multi-agent systems: A survey","True","False","{""label"":""match"", ""evidence"":""The candidate title is identical to the title in the reference record."", ""risk"":""None""}","{
  ""label"": ""nonmatch"",
  ""challenge"": ""The candidate title lacks the authors and publication year, which are essential for distinguishing it from other works with the same title."",
  ""confidence"": ""high""
}","{""label"":""nonmatch"", ""reason"":""The candidate provides only the title, which is insufficient to distinguish the reference's specific 2018 survey by Dorri et al. in IEEE Access from potentially other works with the same title.""}"
"arl_wrong","TM207","match","match","match","nonmatch","nonmatch","Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.","Multi-agent systems: A survey","True","False","{""label"":""match"", ""evidence"":""The candidate title exactly matches the title in the reference record."", ""risk"":""None""}","{
  ""label"": ""nonmatch"",
  ""challenge"": ""The candidate title lacks the authors and publication year, which are essential for distinguishing it from other works with the same title."",
  ""confidence"": ""high""
}","{""label"":""nonmatch"", ""reason"":""The candidate provides only a title, which is generic and insufficient to confirm it is the same work as the reference without authors or publication year.""}"
