config,qid,release,reasons,text_orphans,uncited_bibliography_entries,bibliography_match_rate,path
M1,Q01,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q01_method1_exp_20260412_223724.md
M1,Q02,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q02_method1_exp_20260412_223955.md
M1,Q03,block,unresolved_in_text_citation|bibliography_outside_query_evidence,2,0,0.75,data\expanded_outputs\method1\Q03_method1_exp_20260412_224201.md
M1,Q04,block,unresolved_in_text_citation|bibliography_outside_query_evidence,5,0,0.375,data\expanded_outputs\method1\Q04_method1_exp_20260412_224354.md
M1,Q05,block,unresolved_in_text_citation|bibliography_outside_query_evidence,2,0,0.75,data\expanded_outputs\method1\Q05_method1_exp_20260412_224544.md
M1,Q61,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q061_method1_exp_20260413_001846.md
M1,Q62,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q062_method1_exp_20260413_002011.md
M1,Q63,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q063_method1_exp_20260413_002139.md
M1,Q64,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q064_method1_exp_20260413_002324.md
M1,Q65,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q065_method1_exp_20260413_002516.md
M1,Q66,block,unresolved_in_text_citation|bibliography_outside_query_evidence,2,0,0.75,data\expanded_outputs\method1\Q066_method1_exp_20260413_002652.md
M1,Q67,pass,,0,0,1.0,data\expanded_outputs\method1\Q067_method1_exp_20260413_002814.md
M1,Q68,block,unresolved_in_text_citation|bibliography_outside_query_evidence,2,0,0.75,data\expanded_outputs\method1\Q068_method1_exp_20260413_002945.md
M1,Q69,pass,,0,0,1.0,data\expanded_outputs\method1\Q069_method1_exp_20260413_003112.md
M1,Q06,block,unresolved_in_text_citation|bibliography_outside_query_evidence,1,0,0.875,data\expanded_outputs\method1\Q06_method1_exp_20260412_224736.md
M1,Q70,block,unresolved_in_text_citation|bibliography_outside_query_evidence,4,0,0.5,data\expanded_outputs\method1\Q070_method1_exp_20260413_003249.md
M1,Q71,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q071_method1_exp_20260413_003445.md
M1,Q72,block,unresolved_in_text_citation|bibliography_outside_query_evidence,1,0,0.875,data\expanded_outputs\method1\Q072_method1_exp_20260413_003623.md
M1,Q73,block,unresolved_in_text_citation|bibliography_outside_query_evidence,1,0,0.875,data\expanded_outputs\method1\Q073_method1_exp_20260413_003749.md
M1,Q74,pass,,0,0,1.0,data\expanded_outputs\method1\Q074_method1_exp_20260413_003913.md
M1,Q75,pass,,0,0,1.0,data\expanded_outputs\method1\Q075_method1_exp_20260413_004040.md
M1,Q76,pass,,0,0,1.0,data\expanded_outputs\method1\Q076_method1_exp_20260413_004223.md
M1,Q77,pass,,0,0,1.0,data\expanded_outputs\method1\Q077_method1_exp_20260413_004346.md
M1,Q78,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q078_method1_exp_20260413_004509.md
M1,Q79,block,unresolved_in_text_citation|bibliography_outside_query_evidence,1,0,0.875,data\expanded_outputs\method1\Q079_method1_exp_20260413_004639.md
M1,Q07,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q07_method1_exp_20260412_224859.md
M1,Q80,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q080_method1_exp_20260413_004810.md
M1,Q81,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q081_method1_exp_20260413_004935.md
M1,Q82,block,unresolved_in_text_citation|bibliography_outside_query_evidence,4,0,0.5,data\expanded_outputs\method1\Q082_method1_exp_20260413_005113.md
M1,Q83,block,unresolved_in_text_citation|bibliography_outside_query_evidence,2,0,0.75,data\expanded_outputs\method1\Q083_method1_exp_20260413_005233.md
M1,Q84,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q084_method1_exp_20260413_005400.md
M1,Q85,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q085_method1_exp_20260413_005523.md
M1,Q86,pass,,0,0,1.0,data\expanded_outputs\method1\Q086_method1_exp_20260413_005648.md
M1,Q87,block,unresolved_in_text_citation|bibliography_outside_query_evidence,2,0,0.75,data\expanded_outputs\method1\Q087_method1_exp_20260413_005817.md
M1,Q88,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q088_method1_exp_20260413_010008.md
M1,Q89,block,unresolved_in_text_citation|bibliography_outside_query_evidence,2,0,0.75,data\expanded_outputs\method1\Q089_method1_exp_20260413_075144.md
M1,Q08,block,unresolved_in_text_citation|bibliography_outside_query_evidence,4,0,0.5,data\expanded_outputs\method1\Q08_method1_exp_20260412_225034.md
M1,Q90,block,unresolved_in_text_citation|bibliography_outside_query_evidence,6,0,0.25,data\expanded_outputs\method1\Q090_method1_exp_20260413_075252.md
M1,Q91,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q091_method1_exp_20260413_075447.md
M1,Q92,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q092_method1_exp_20260413_075557.md
M1,Q93,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q093_method1_exp_20260413_075722.md
M1,Q94,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q094_method1_exp_20260413_075834.md
M1,Q95,block,unresolved_in_text_citation|bibliography_outside_query_evidence,2,0,0.75,data\expanded_outputs\method1\Q095_method1_exp_20260413_075949.md
M1,Q96,pass,,0,0,1.0,data\expanded_outputs\method1\Q096_method1_exp_20260413_080109.md
M1,Q97,block,unresolved_in_text_citation|bibliography_outside_query_evidence,4,0,0.5,data\expanded_outputs\method1\Q097_method1_exp_20260413_080235.md
M1,Q98,block,unresolved_in_text_citation|bibliography_outside_query_evidence,2,0,0.75,data\expanded_outputs\method1\Q098_method1_exp_20260413_080359.md
M1,Q99,block,unresolved_in_text_citation|bibliography_outside_query_evidence,5,0,0.375,data\expanded_outputs\method1\Q099_method1_exp_20260413_080527.md
M1,Q09,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q09_method1_exp_20260412_225212.md
M1,Q100,block,unresolved_in_text_citation|bibliography_outside_query_evidence,1,0,0.875,data\expanded_outputs\method1\Q100_method1_exp_20260413_080634.md
M1,Q101,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q101_method1_exp_20260413_080820.md
M1,Q102,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q102_method1_exp_20260413_080950.md
M1,Q103,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q103_method1_exp_20260413_081120.md
M1,Q104,block,uncited_bibliography_entry,0,3,1.0,data\expanded_outputs\method1\Q104_method1_exp_20260413_081252.md
M1,Q105,block,unresolved_in_text_citation|bibliography_outside_query_evidence,2,0,0.75,data\expanded_outputs\method1\Q105_method1_exp_20260413_081430.md
M1,Q106,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q106_method1_exp_20260413_081555.md
M1,Q107,block,unresolved_in_text_citation|bibliography_outside_query_evidence,3,0,0.625,data\expanded_outputs\method1\Q107_method1_exp_20260413_081715.md
M1,Q108,block,unresolved_in_text_citation|bibliography_outside_query_evidence,6,0,0.25,data\expanded_outputs\method1\Q108_method1_exp_20260413_081831.md
M1,Q109,block,missing_bibliography|unresolved_in_text_citation|bibliography_outside_query_evidence,8,0,0.0,data\expanded_outputs\method1\Q109_method1_exp_20260413_081954.md
M1,Q10,block,unresolved_in_text_citation|bibliography_outside_query_evidence,4,0,0.5,data\expanded_outputs\method1\Q10_method1_exp_20260412_225349.md
M1,Q110,block,unresolved_in_text_citation|bibliography_outside_query_evidence,5,0,0.375,data\expanded_outputs\method1\Q110_method1_exp_20260413_082110.md
