item_id,claim_text,evidence_snippets,verdict_supported_partial_contradicted_insufficient_removed,notes
S065,此外，跨站点临床决策支持系统中，患者群体、成像硬件及采集协议的差异会导致模型输出分布漂移，类似地，多源学术检索中不同数据库的索引差异也可能引发查询主题偏移[2]。,"[2] Agent-Based Output Drift Detection for Breast Cancer Response Prediction in a Multisite Clinical Decision Support System (2025): Modern clinical decision support systems can concurrently serve multiple, independent medical imaging institutions, but their predictive performance may degrade across sites due to variations in patient populations, imaging hardware, and acquisition protocols. Continuous surveillance of predictive model outputs offers a safe and reliable approach for identifying such distributional shifts without ground truth labels. However, most existing methods rely on centralized monitoring of aggregated predictions, overlooking site-specific drift dynamics. We propose an agent-based framework for detecting drift and assessing its severity in multisite clinical AI systems. To evaluate its effectiveness, we simulate a multi-center environment for output-based drift detection, assigning each site a drift monitoring agent that performs batch-wise comparisons of model outputs against a reference distribution. We analyse several multi-center monitoring schemes, that differ in how the reference is obtained (site-specific, global, production-only and adaptive), alongside a centralized baseline. Results on real-world breast cancer imaging data using a pathological complete response prediction model shows that all multi-center schemes outperform centralized monitoring, with F1-score improvements up to 10.3% in drift detection. In the absence of site-specific references, the adaptive scheme performs best, with F1-scores of 74.3% for drift detection and 83.7% for drift severity classification. These findings suggest that adaptive, site-aware agent-based drift monitoring can enhance reliability of multisite clinical decision support systems.",,
S115,**生成式信息搜索中的人智协同评估**：随着生成式人工智能驱动的信息搜索服务从“工具型”向“协同型”转变[7]，以及多智能体通信拓扑的自动设计[8]，人工评估需要关注自动指标无法量化的认知增益、协作效率与用户满意度等维度。,"[7] 生成式人工智能驱动下智慧图书馆信息搜索的技术框架及服务模式研究 (2025): 在生成式人工智能技术快速发展的背景下,用户的信息需求和信息行为日益多样化和复杂化,智慧图书馆的信息供给模式需要从""被动响应""转变为""主动出击""、从""静态适配""过渡到""动态服务"".借助以大语言模型为代表的生成式人工智能技术强大的自然语言处理、多模态数据整合及知识生成能力,智慧图书馆信息搜索服务可以向个性化、精准化和智慧化服务模式转型.本文首先系统梳理传统信息检索、语义检索和GenAI驱动的生成式 信息搜索三种不同检索范式的功能及特征演变;其次,基于CASA范式和社会技术系统视角构建以大语言模型智能体为支撑的智慧图书馆生成式信息搜索技术框架,该框架支持多场景下人智协同的信息搜索认知构建;最后,从场景解构、关键支撑和服务目标三个角度提出了""意图感知+认知建构+内容生成""的智慧图书馆人智协同的信息搜索服务模式.本研究提出的技术框架和服务模式促进了信息服务从工具型向协同型的范式转变,强化了智慧图书馆 从工具型服务向认知增益型服务体系的转型,为未来智慧图书馆知识搜索体系的构建提供了新思路.图3.表2.参考文献37. query formulation,and result presentation.It then,drawing on the Computers Are Social Actors(CASA)paradigm and a sociotechnical system perspective,proposes an <span class='highlight'>LLM</span> <span class='highlight'>Agent</span> framework that orchestrates  the classical four <span class='highlight'>information</span> <span class='highlight'>service</span> elements-users,providers,contents and strategies-the study develops three adaptive paths for GenAI-driven <span class='highlight'>information</span> search:high affinity scenarios where LLMs  institutions with shared application interfaces and low-code <span class='highlight'>agent</span> components.
By shifting library <span class='highlight'>information</span> services from instrumental interaction to collaborative cognition,the proposed framework  With the rapid advancement of generative artificial intelligence(GenAI)technologies,users' <span class='highlight'>information</span> needs and <span class='highlight'>information</span> behaviours have become markedly diversified and complex.Traditional  <span class='highlight'>information</span> retrieval paradigms,which rely on static index matching and passive response,now struggle to satisfy expectations for contextual accuracy,multimodal interaction,and real-time relevance.Smart || [8] Assemble Your Crew: Automatic Multi-agent Communication Topology Design via Autoregressive Graph Generation (2025): Multi-agent systems (MAS) based on large language models (LLMs) have emerged as a powerful solution for dealing with complex problems across diverse domains. The effectiveness of MAS is critically dependent on its collaboration topology, which has become a focal point for automated design research. However, existing approaches are fundamentally constrained by their reliance on a template graph modification paradigm with a predefined set of agents and hard-coded interaction structures, significantly limiting their adaptability to task-specific requirements. To address these limitations, we reframe MAS design as a conditional autoregressive graph generation task, where both the system composition and structure are designed jointly. We propose ARG-Designer, a novel autoregressive model that operationalizes this paradigm by constructing the collaboration graph from scratch. Conditioned on a natural language task query, ARG-Designer sequentially and dynamically determines the required number of agents, selects their appropriate roles from an extensible pool, and establishes the optimal communication links between them. This generative approach creates a customized topology in a flexible and extensible manner, precisely tailored to the unique demands of different tasks. Extensive experiments across six diverse benchmarks demonstrate that ARG-Designer not only achieves state-of-the-art performance but also enjoys significantly greater token efficiency and enhanced extensibility.",,
S134,"谨慎结论

多智能体系统在引言中压缩背景综述时，可通过引用权威综述[3]、跨领域类比[4]、方法论框架[8]和整合多篇证据[5][6][7]来维持引用密度。","[3] Multi-agent systems: A survey (2018): … Multi Agent Learning (MAL) systems. The following challenges increase the complexity of adopting learning systems for … Mao, “Cross-clouds services autonomic management approach … || [4] Electricity market design for the prosumer era (2016): Prosumers are agents that both consume and produce energy. With the growth in small and medium-sized agents using solar photovoltaic panels, smart meters, vehicle-to-grid electric automobiles, home batteries and other ‘smart’ devices, prosuming offers the potential for consumers and vehicle owners to re-evaluate their energy practices. As the number of prosumers increases, the electric utility sector of today is likely to undergo significant changes over the coming decades, offering possibilities for greening of the system, but also bringing many unknowns and risks that need to be identified and managed. To develop strategies for the future, policymakers and planners need knowledge of how prosumers could be integrated effectively and efficiently into competitive electricity markets. Here we identify and discuss three promising potential prosumer markets related to prosumer grid integration, peer-to-peer models and prosumer community groups. We also caution against optimism by laying out a series of caveats and complexities. Small-scale renewable energy systems and smart technologies are enabling energy consumers to become producers and service providers as well. This Perspective explores this ‘prosumption’ phenomenon, highlighting three promising prosumer market models and the challenges for future implementation. || [5] AI-based chatbots in customer service and their effects on user compliance (2020): Abstract Communicating with customers through live chat interfaces has become an increasingly popular means to provide real-time customer service in many e-commerce settings. Today, human chat service agents are frequently replaced by conversational software agents or chatbots, which are systems designed to communicate with human users by means of natural language often based on artificial intelligence (AI). Though cost- and time-saving opportunities triggered a widespread implementation of AI-based chatbots, they still frequently fail to meet customer expectations, potentially resulting in users being less inclined to comply with requests made by the chatbot. Drawing on social response and commitment-consistency theory, we empirically examine through a randomized online experiment how verbal anthropomorphic design cues and the foot-in-the-door technique affect user request compliance. Our results demonstrate that both anthropomorphism as well as the need to stay consistent significantly increase the likelihood that users comply with a chatbot’s request for service feedback. Moreover, the results show that social presence mediates the effect of anthropomorphic design cues on user compliance. || [6] Adoption of AI-based chatbots for hospitality and tourism (2020): Purpose This study aims to investigate the customers’ behavioral intention and actual usage (AUE) of artificial intelligence (AI)-powered chatbots for hospitality and tourism in India by extending the technology adoption model (TAM) with context-specific variables. Design/methodology/approach To understand the customers’ behavioral intention and AUE of AI-powered chatbots for tourism, the mixed-method design was used whereby qualitative and quantitative techniques were combined. A total of 36 senior managers and executives from the travel agencies were interviewed and the analysis of interview data was done using NVivo 8.0 software. A total of 1,480 customers were surveyed and the partial least squares structural equation modeling technique was used for data analysis. Findings As per the results, the predictors of chatbot adoption intention (AIN) are perceived ease of use, perceived usefulness, perceived trust (PTR), perceived intelligence (PNT) and anthropomorphism (ANM). Technological anxiety (TXN) does not influence the chatbot AIN. Stickiness to traditional human travel agents negatively moderates the relation of AIN and AUE of chatbots in tourism and provides deeper insights into manager’s commitment to providing travel planning services using AI-based chatbots. Practical implications This research presents unique practical insights to the practitioners, managers and executives in the tourism industry, system designers and developers of AI-based chatbot technologies to understand the antecedents of chatbot adoption by travelers. TXN is a vital concern for the customers; so, designers and developers should ensure that chatbots are easily accessible, have a user-friendly interface, be more human-like and communicate in various native languages with the customers. Originality/value This study contributes theoretically by extending the TAM to provide better explanatory power with human–robot interaction context-specific constructs – PTR, PNT, ANM and TXN – to examine the customers’ chatbot AIN. This is the first step in the direction to empirically test and validate a theoretical model for chatbots’ adoption and usage, which is a disruptive technology in the hospitality and tourism sector in an emerging economy such as India. || [7] What factors contribute to the acceptance of artificial intelligence? A systematic review (2022): Artificial Intelligence (AI) agents are predicted to infiltrate most industries within the next decade, creating a personal, industrial, and social shift towards the new technology. As a result, there has been a surge of interest and research towards user acceptance of AI technology in recent years. However, the existing research appears dispersed and lacks systematic synthesis, limiting our understanding of user acceptance of AI technologies. To address this gap in the literature, we conducted a systematic review following the Preferred Reporting Items for Systematic Reviews and meta-Analysis guidelines using five databases: EBSCO host, Embase, Inspec (Engineering Village host), Scopus, and Web of Science. Papers were required to focus on both user acceptance and AI technology. Acceptance was defined as the behavioural intention or willingness to use, buy, or try a good or service. A total of 7912 articles were identified in the database search. Sixty articles were included in the review. Most studies (n = 31) did not define AI in their papers, and 38 studies did not define AI for their participants. The extended Technology Acceptance Model (TAM) was the most frequently used theory to assess user acceptance of AI technologies. Perceived usefulness, performance expectancy, attitudes, trust, and effort expectancy significantly and positively predicted behavioural intention, willingness, and use behaviour of AI across multiple industries. However, in some cultural scenarios, it appears that the need for human contact cannot be replicated or replaced by AI, no matter the perceived usefulness or perceived ease of use. Given that most of the methodological approaches present in the literature have relied on self-reported data, further research using naturalistic methods is needed to validate the theoretical model/s that best predict the adoption of AI technologies. || [8] The next generation of research on IS use: A theoretical framework of delegation to and from agentic IS artifacts (2021): … This research has led to an interest in delegation of rights and responsibilities to information systems, such as when doctors rely on clinical decision support systems to provide …",,
S059,- **回退至 evidence agent 重抽取路径**：[2] 的 fact-checking 系统采用四智能体架构，其中 Evidence Retrieval Agent 负责 sourcing credible evidence。,"[2] Towards Robust Fact-Checking: A Multi-Agent System with Advanced Evidence Retrieval (2025): The rapid spread of misinformation in the digital era poses significant challenges to public discourse, necessitating robust and scalable fact-checking solutions. Traditional human-led fact-checking methods, while credible, struggle with the volume and velocity of online content, prompting the integration of automated systems powered by Large Language Models (LLMs). However, existing automated approaches often face limitations, such as handling complex claims, ensuring source credibility, and maintaining transparency. This paper proposes a novel multi-agent system for automated fact-checking that enhances accuracy, efficiency, and explainability. The system comprises four specialized agents: an Input Ingestion Agent for claim decomposition, a Query Generation Agent for formulating targeted subqueries, an Evidence Retrieval Agent for sourcing credible evidence, and a Verdict Prediction Agent for synthesizing veracity judgments with human-interpretable explanations. Evaluated on benchmark datasets (FEVEROUS, HOVER, SciFact), the proposed system achieves a 12.3% improvement in Macro F1-score over baseline methods. The system effectively decomposes complex claims, retrieves reliable evidence from trusted sources, and generates transparent explanations for verification decisions. Our approach contributes to the growing field of automated fact-checking by providing a more accurate, efficient, and transparent verification methodology that aligns with human fact-checking practices while maintaining scalability for real-world applications. Our source code is available at https://github.com/HySonLab/FactAgent",,
S148,此外，一项系统综述发现，多数AI接受度研究未明确定义AI，且依赖自我报告数据，这可能导致将感知有用性等结构性指标误判为理论贡献[7]。,"[7] What factors contribute to the acceptance of artificial intelligence? A systematic review (2022): Artificial Intelligence (AI) agents are predicted to infiltrate most industries within the next decade, creating a personal, industrial, and social shift towards the new technology. As a result, there has been a surge of interest and research towards user acceptance of AI technology in recent years. However, the existing research appears dispersed and lacks systematic synthesis, limiting our understanding of user acceptance of AI technologies. To address this gap in the literature, we conducted a systematic review following the Preferred Reporting Items for Systematic Reviews and meta-Analysis guidelines using five databases: EBSCO host, Embase, Inspec (Engineering Village host), Scopus, and Web of Science. Papers were required to focus on both user acceptance and AI technology. Acceptance was defined as the behavioural intention or willingness to use, buy, or try a good or service. A total of 7912 articles were identified in the database search. Sixty articles were included in the review. Most studies (n = 31) did not define AI in their papers, and 38 studies did not define AI for their participants. The extended Technology Acceptance Model (TAM) was the most frequently used theory to assess user acceptance of AI technologies. Perceived usefulness, performance expectancy, attitudes, trust, and effort expectancy significantly and positively predicted behavioural intention, willingness, and use behaviour of AI across multiple industries. However, in some cultural scenarios, it appears that the need for human contact cannot be replicated or replaced by AI, no matter the perceived usefulness or perceived ease of use. Given that most of the methodological approaches present in the literature have relied on self-reported data, further research using naturalistic methods is needed to validate the theoretical model/s that best predict the adoption of AI technologies.",,
S094,其余记录[2]-[8]虽涉及审稿过程或自动化评估，但均未直接讨论审稿循环中的重复劳动与博弈问题。,"[2] Study protocol for evaluating automation of systematic review processes with EPPI-Reviewer and Copilot 365 in updating the cataract evidence gap map (2026): Abstract
                  
                    Background
                    The process of developing and updating an evidence gap map (EGM) is based on the principles of systematic reviews and requires extensive time and financial resources. Artificial intelligence (AI) tools, like prioritisation screening (PS), integrated into programmes such as EPPI-Reviewer (ER) and Copilot 365, can potentially mimic human performance in systematic review processes. ER is a subscription-based web application employed by systematic review groups, while Copilot 365, integrated into Microsoft 365, offers real-time assistance. Although ER shows promise in speeding up screening, the optimal threshold for accuracy remains unclear. Additionally, there is no evidence on the effectiveness of any version of Copilot in systematic review and EGM processes.
                  
                  
                    Objectives
                    Assess the accuracy and efficiency of Copilot 365 and PS integrated into ER at different stages of an EGM update, comparing it to human performance.
                  
                  
                    Methods
                    We will conduct both manual and automated screening of references, full-text screening, data extraction, and critical appraisal. Two reviewers will independently screen studies for inclusion, extract data, and appraise included studies, resolving conflicts through discussion. We will assess the accuracy and efficiency of Copilot 365 and ER at different EGM update stages, comparing them to human performance. To evaluate the PS accuracy, we will use 20% and 40% manual screening thresholds, calculating the proportion of relevant references prioritised by PS and the total relevant citations missed. We will compare Copilot 365’s full-text screening accuracy to reviewers’ decisions and assess consistency using Cohen’s Kappa. For automated data extraction and appraisal, we will manually inspect 20% of Copilot 365’s outputs, comparing them to reviewers’ results, measuring consistency with Cohen’s Kappa, and evaluating time savings by comparing the time taken for manual extraction versus using Copilot 365.
                  
                  
                    Discussion
                    This study will offer insights into ER’s accuracy in screening small samples of citations and potentially guide future applications in this context. Additionally, by evaluating Copilot 365, which shares similar features with other AI tools, we will gain a broader understanding of its applicability and limitations in evidence synthesis, making the results relevant to other AI applications in this field.
                  
                  
                    Systematic review registration
                    
                      Registered at Open Science Framework:
                      https://doi.org/10.17605/OSF.IO/49BX8
                      . || [8] Reviewer #2 (Public review): Conservation of the cooling agent binding pocket within the TRPM subfamily (2024): ",,
S005,检索到的证据涵盖多智能体系统在学术评审中的应用，包括对抗性作者-评审者工作流[1]、空间文本到SQL的多智能体框架[7]以及系统综述自动化中的评审智能体设计[8]。,"[1] Adversarial Multi-Agent System for Systematic Literature Reviews: Author–Reviewer Workflows with Verifiable Evidence and Critique Loops (2026):  || [7] From Questions to Queries: An AI-powered Multi-Agent Framework for Spatial Text-to-SQL (2025): The complexity of SQL and the spatial semantics of PostGIS create barriers for non-experts working with spatial data. Although large language models can translate natural language into SQL, spatial Text-to-SQL is more error-prone than general Text-to-SQL because it must resolve geographic intent, schema ambiguity, geometry-bearing tables and columns, spatial function choice, and coordinate reference system and measurement assumptions. We introduce a multi-agent framework that addresses these coupled challenges through staged interpretation, schema grounding, logical planning, SQL generation, and execution-based review. The framework is supported by a knowledge base with programmatic schema profiling, semantic enrichment, and embedding-based retrieval. We evaluated the framework on the non-spatial KaggleDBQA benchmark and on SpatialQueryQA, a new multi-level and coverage-oriented benchmark with diverse geometry types, workload categories, and spatial operations. On KaggleDBQA, the system reached 81.2% accuracy, 221 of 272 questions, after reviewer corrections. On SpatialQueryQA, the system achieved 87.7% accuracy, 79 of 90, compared with 76.7% without the review stage. These results show that decomposing the task into specialized but tightly coupled agents improves robustness, especially for spatially sensitive queries. The study improves access to spatial analysis and provides a practical step toward more reliable spatial Text-to-SQL systems and autonomous GIS. || [8] LatteReview: a multi-agent framework for systematic review automation using large language models (2025): review workflow for title and abstract screening with two junior reviewer agents (round A)  followed by concept extraction by a senior and more powerful reviewer agent (round B).",,
S006,检索到的证据涵盖多智能体系统在学术评审中的应用，包括对抗性作者-评审者工作流[1]、空间文本到SQL的多智能体框架[7]以及系统综述自动化中的评审智能体设计[8]。,"[1] Adversarial Multi-Agent System for Systematic Literature Reviews: Author–Reviewer Workflows with Verifiable Evidence and Critique Loops (2026):  || [7] From Questions to Queries: An AI-powered Multi-Agent Framework for Spatial Text-to-SQL (2025): The complexity of SQL and the spatial semantics of PostGIS create barriers for non-experts working with spatial data. Although large language models can translate natural language into SQL, spatial Text-to-SQL is more error-prone than general Text-to-SQL because it must resolve geographic intent, schema ambiguity, geometry-bearing tables and columns, spatial function choice, and coordinate reference system and measurement assumptions. We introduce a multi-agent framework that addresses these coupled challenges through staged interpretation, schema grounding, logical planning, SQL generation, and execution-based review. The framework is supported by a knowledge base with programmatic schema profiling, semantic enrichment, and embedding-based retrieval. We evaluated the framework on the non-spatial KaggleDBQA benchmark and on SpatialQueryQA, a new multi-level and coverage-oriented benchmark with diverse geometry types, workload categories, and spatial operations. On KaggleDBQA, the system reached 81.2% accuracy, 221 of 272 questions, after reviewer corrections. On SpatialQueryQA, the system achieved 87.7% accuracy, 79 of 90, compared with 76.7% without the review stage. These results show that decomposing the task into specialized but tightly coupled agents improves robustness, especially for spatially sensitive queries. The study improves access to spatial analysis and provides a practical step toward more reliable spatial Text-to-SQL systems and autonomous GIS. || [8] LatteReview: a multi-agent framework for systematic review automation using large language models (2025): review workflow for title and abstract screening with two junior reviewer agents (round A)  followed by concept extraction by a senior and more powerful reviewer agent (round B).",,
S054,在智慧情报服务研究中，工作模式以“需求感知、情报获取、产品推送为基本流程”[1]，这本质上是对服务任务的层级分解。,"[1] 面向数据密集型科研范式的智慧情报服务 (2024): 阐述数据密集型科研范式和<span class='highlight'>智慧</span><span class='highlight'>情报</span><span class='highlight'>服务</span>内涵,探讨<span class='highlight'>智慧</span><span class='highlight'>情报</span><span class='highlight'>服务</span>在数据密集型科研范式下面临的挑战、<span class='highlight'>服务</span>模式以及优化路径,以""数据+技术+专家<span class='highlight'>智慧</span>""为工作模式,以需求感知、<span class='highlight'>情报</span>获取、产品推送为基本流程,理顺业务逻辑、改变<span class='highlight'>服务</span>范式、实现人机协同,着力构建面向数据密集型科研范式的<span class='highlight'>智慧</span><span class='highlight'>情报</span><span class='highlight'>服务</span>模式,为<span class='highlight'>情报</span><span class='highlight'>服务</span>工作向<span class='highlight'>智慧</span>化迈进提供参考.随着大数据时代的到来,数据密集型科研范式以其独特的优势逐渐崭露头角.这种范式 以数据为基础,强调数据的收集、存储、分析与利用,对传统<span class='highlight'>情报</span><span class='highlight'>服务</span>提出了新的挑战. What data-intensive research paradigm and intelligence service mean are explained,and the challenges,service model and optimization path faced by the latter in the context of the former are discussed .Research logic is rationalized,service paradigm changed,human-machine synergy achieved in the working mode integrating data,technology and expert wisdom,following the basic process of demand  perception,intelligence acquisition and product delivery.Special attention is paid to building a smart intelligence service model for data-intensive research paradigm,so as to facilitate intelligence service  in becoming more intelligent.With the advent of the big data era,the data-intensive research paradigm gradually cut a figure for its unique advantages.This data-based paradigm emphasises the collection ,storage,analysis and use of data,and poses new challenges to traditional intelligence services.",,
S121,在多算法对比中采用配对t检验或ANOVA，为算法选择提供统计依据[3]。,"[3] ""AGENTIC AI–DRIVEN DECISION-SUPPORT FRAMEWORK FOR CLIMATE-RESPONSIVE AGRICULTURAL ADAPTATION USING REINFORCEMENT LEARNING” (2025): Climate variability is very sensitive to agriculture that interferes with crop productivity, resources management and sustainability. Conventional decision support systems (DSS) have brought meaningful understandings but this is constrained by its static and rule-based structures that cannot hold up well in a dynamic and uncertain climatic environment. To help fill that gap, this paper offers an agentic AI-based decision-support approach to climate adaptation in agriculture that combines reinforcement learning (RL), digital twins, and multi-agent reasoning. The framework was also derived and validated with regard to climate, soil, and crop datasets and tested by a digital twin simulation environment. Agents at the reinforcement learning were trained under Deep Q-Learning, Proximal Policy Optimization, and Actor Critic algorithms and Proximal Policy Optimization proved to converge faster and illustrated relative stability. The results indicate drastic increases in the yield of crops under normal and stressful conditions, improved water-use efficiency, and optimized fertilizer use and by increasing use of biochar and recycling water, the carbon footprint can be reduced relative to the usual DSS. In addition, the Agentic AI layer provided pipeline flexibility with respect to changes in policy like water-use limitations, resulting in a reduced recalibration time and increase in the adaptability index. The comparative analysis, against the conventional models of DSS, assures that the proposed framework can both balance productivity and sustainability and continue being robust in a wide range of climatic conditions. The significance of observed improvements was proved by statistical validation with ANOVA and paired t-tests (p &lt; 0.05). These results imply that reinforcement learning and digital twin integration with Agentic AI offers a high capacity and robust channel towards future climate change-resistant agriculture decision-making.",,
