pair_id,query_id,domain,language_group,reference_string,candidate_evidence_title,gold_label,single_agent_label,arl_label,score
TM001,Q181,biomedical_evidence_synthesis,English/Latin,"Strategies used for childhood chronic functional constipation: the SUCCESS evidence synthesis.. Health technology assessment (Winchester, England). 2024.",Evidence Synthesis Methods,nonmatch,nonmatch,nonmatch,0.6666666666666666
TM002,Q89,multi_agent_information_services,English/Latin,What factors contribute to the acceptance of artificial intelligence? A systematic review. Telematics and Informatics. 2022.,What factors contribute to the acceptance of artificial intelligence? A systematic review,match,match,match,1.0
TM003,Q41,multi_agent_information_services,English/Latin,Joint Secure Offloading and Resource Allocation for Vehicular Edge Computing Network: A Multi-Agent Deep Reinforcement Learning Approach. IEEE Transactions on Intelligent Transportation Systems. 2023.,Multi-agent systems: A survey,nonmatch,nonmatch,nonmatch,0.75
TM004,Q123,digital_humanities,English/Latin,Testing the utility of GPT for title and abstract screening in environmental systematic evidence synthesis. Environmental Evidence. 2025.,Trials and Evidence Synthesis,nonmatch,nonmatch,nonmatch,0.75
TM005,Q237,climate_policy_research,English/Latin,Editorial: Evidence synthesis for accelerated learning on climate solutions. Campbell Systematic Reviews. 2020.,Editorial: Evidence synthesis for accelerated learning on climate solutions,match,match,match,1.0
TM006,Q16,multi_agent_information_services,English/Latin,"The next generation of research on IS use: A theoretical framework of delegation to and from agentic IS artifacts. A Baird, LM Maruping - MIS quarterly, 2021 - misq.umn.edu. 2021.",The next generation of research on IS use: A theoretical framework of delegation to and from agentic IS artifacts,match,match,match,1.0
TM007,Q122,digital_humanities,English/Latin,Time to challenge the spurious hierarchy of systematic over narrative reviews?. European Journal of Clinical Investigation. 2018.,Time to challenge the spurious hierarchy of systematic over narrative reviews?,match,match,match,1.0
TM008,Q129,digital_humanities,English/Latin,"The impacts of decentralization on health system equity, efficiency and resilience: a realist synthesis of the evidence. Health Policy and Planning. 2019.",Trials and Evidence Synthesis,nonmatch,nonmatch,nonmatch,0.75
TM009,Q26,multi_agent_information_services,English/Latin,Joint Secure Offloading and Resource Allocation for Vehicular Edge Computing Network: A Multi-Agent Deep Reinforcement Learning Approach. IEEE Transactions on Intelligent Transportation Systems. 2023.,Multi-agent systems: A survey,nonmatch,nonmatch,nonmatch,0.75
TM010,Q55,multi_agent_information_services,English/Latin,Agent-Diff: Benchmarking LLM Agents on Enterprise API Tasks via Code Execution with State-Diff-Based Evaluation. arXiv Preprint. 2026.,Agent-Diff: Benchmarking LLM Agents on Enterprise API Tasks via Code Execution with State-Diff-Based Evaluation,match,match,match,1.0
TM011,Q30,multi_agent_information_services,English/Latin,Multi-Agent-Based Information Retrieval System Using Information Scent in Query Log Mining for Effective Web Search. Information Retrieval and Management. 2018.,The Multi-Agent System in Web Services,nonmatch,nonmatch,nonmatch,0.7142857142857143
TM012,Q104,multi_agent_information_services,English/Latin,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.",Multi-agent monitoring information systems,nonmatch,nonmatch,nonmatch,0.6
TM013,Q112,digital_humanities,English/Latin,The future of ChatGPT in academic research and publishing: A commentary for <i>clinical and translational medicine</i>. Clinical and Translational Medicine. 2023.,The use of foundational ontologies in biomedical research.,nonmatch,nonmatch,nonmatch,0.5
TM014,Q169,biomedical_evidence_synthesis,English/Latin,Interventions to improve referrals from primary care to outpatient specialist services for chronic conditions: a systematic review and framework synthesis update. Systematic Reviews. 2025.,Interventions to improve referrals from primary care to outpatient specialist services for chronic conditions: a systematic review and framework synthesis update,match,match,match,1.0
TM015,Q42,multi_agent_information_services,English/Latin,"A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing. arXiv Preprint. 2026.","A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing",match,match,match,1.0
TM016,Q57,multi_agent_information_services,English/Latin,Parrot: Efficient Serving of LLM-based Applications with Semantic Variable. arXiv (Cornell University). 2024.,Parrot: Efficient Serving of LLM-based Applications with Semantic Variable,match,match,match,1.0
TM017,Q203,climate_policy_research,English/Latin,The effects and safety of testosterone replacement therapy for men with hypogonadism: the TestES evidence synthesis and economic evaluation.. Health Technology Assessment. 2024.,Trials and Evidence Synthesis,nonmatch,nonmatch,nonmatch,0.75
TM018,Q235,climate_policy_research,English/Latin,Activating an evidence-based identity increases the impact of evidence on policymaker beliefs about local climate policies. Environmental Research: Climate. 2023.,Activating an evidence-based identity increases the impact of evidence on policymaker beliefs about local climate policies,match,match,match,1.0
TM019,Q174,biomedical_evidence_synthesis,English/Latin,Open synthesis and the coronavirus pandemic in 2020. Journal of Clinical Epidemiology. 2020.,Open synthesis and the coronavirus pandemic in 2020,match,match,match,1.0
TM020,Q249,climate_policy_research,English/Latin,Open synthesis and the coronavirus pandemic in 2020. Journal of Clinical Epidemiology. 2020.,Trials and Evidence Synthesis,nonmatch,nonmatch,nonmatch,0.5
TM021,Q140,digital_humanities,English/Latin,A New Field:<i>History of Humanities</i>. History of Humanities. 2016.,A New Field:<i>History of Humanities</i>,match,match,match,1.0
TM022,Q118,digital_humanities,English/Latin,Evaluating the Effectiveness of AI-Assisted Emotional Metadata in Enhancing the Discoverability of Literary Texts in Digital Libraries. Social Sciences & Humanity Research Review. 2025.,The Humanities in the digital,nonmatch,nonmatch,nonmatch,0.75
TM023,Q232,climate_policy_research,English/Latin,Methodological Inconsistencies in Nigerian HPV Systematic Reviews: A Meta- Epidemiological Analysis for Evidence-Based Policy. CrossRef. 2025.,Evidence-based design for neonatal units: a systematic review.,nonmatch,nonmatch,nonmatch,0.5
TM024,Q25,multi_agent_information_services,English/Latin,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.",Multi-agent monitoring information systems,nonmatch,nonmatch,nonmatch,0.6
TM025,Q69,multi_agent_information_services,English/Latin,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.",Multi-agent systems: A survey,nonmatch,match,nonmatch,1.0
TM026,Q61,multi_agent_information_services,English/Latin,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.",Multi-agent systems: A survey,nonmatch,match,nonmatch,1.0
TM027,Q241,climate_policy_research,English/Latin,Multi-agent systems in climate-resilient land-use planning: a review. International Journal of Digital Earth. 2025.,Multi-agent systems: A survey,nonmatch,nonmatch,nonmatch,0.75
TM028,Q111,digital_humanities,English/Latin,Bots with Feelings: Should AI Agents Express Positive Emotion in Customer Service?. Information Systems Research. 2022.,Bots with Feelings: Should AI Agents Express Positive Emotion in Customer Service?,match,match,match,1.0
TM029,Q250,climate_policy_research,English/Latin,Energy and transport research towards net zero targets and climate change mitigation. A systematic review of evidence communication for policy makers.. CrossRef. 2024.,Energy and transport research towards net zero targets and climate change mitigation. A systematic review of evidence communication for policy makers.,match,match,match,1.0
TM030,Q206,climate_policy_research,English/Latin,The (Co)Benefits Portal—an evidence-based and climate policy-relevant tool for decision-making. Environmental Research Letters. 2025.,Towards an Evidence-Based Approach to Climate Policy,nonmatch,nonmatch,nonmatch,0.625
TM031,Q232,climate_policy_research,English/Latin,Methodological Inconsistencies in Nigerian HPV Systematic Reviews: A Meta- Epidemiological Analysis for Evidence-Based Policy. CrossRef. 2025.,Methodological Inconsistencies in Nigerian HPV Systematic Reviews: A Meta- Epidemiological Analysis for Evidence-Based Policy,match,match,match,1.0
TM032,Q139,digital_humanities,English/Latin,Development and evaluation of an automatic text annotation system for supporting digital humanities research. Library hi tech. 2019.,SAVING DIGITAL HUMANITIES,nonmatch,nonmatch,nonmatch,0.6666666666666666
TM033,Q241,climate_policy_research,English/Latin,"LABMATE: Language Model Based Multi-Agent System to Accelerate Catalysis Experiments. SC25-W: Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis. 2025.",MASCEM: Optimizing the performance of a multi-agent system,nonmatch,nonmatch,nonmatch,0.75
TM034,Q101,multi_agent_information_services,English/Latin,Knowledge-Informed Multi-Agent Trajectory Prediction at Signalized Intersections for Infrastructure-to-Everything. IEEE transactions on intelligent transportation systems (Print). 2025.,Knowledge-Informed Multi-Agent Trajectory Prediction at Signalized Intersections for Infrastructure-to-Everything,match,match,match,1.0
TM035,Q156,digital_humanities,English/Latin,Critical-Reflective Human-AI Collaboration: Exploring Computational Tools for Art Historical Image Retrieval. arXiv Preprint. 2023.,Critical-Reflective Human-AI Collaboration: Exploring Computational Tools for Art Historical Image Retrieval,match,match,match,1.0
TM036,Q07,multi_agent_information_services,English/Latin,LatteReview: a multi-agent framework for systematic review automation using large language models. arXiv preprint arXiv …. 2025.,Large Language Models for Mental Health Applications: Systematic Review,nonmatch,nonmatch,nonmatch,0.6666666666666666
TM037,Q193,biomedical_evidence_synthesis,English/Latin,"A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing. arXiv Preprint. 2026.",Multi-agent Searching System for Medical Information,nonmatch,nonmatch,nonmatch,0.5714285714285714
TM038,Q100,multi_agent_information_services,English/Latin,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2017.",Multi-agent systems: A survey,nonmatch,match,nonmatch,1.0
TM039,Q91,multi_agent_information_services,English/Latin,Reviewer #2 (Public review): SICKO: Systematic Imaging of Caenorhabditis Killing Organisms. CrossRef. 2025.,Reviewer #1 (Public Review): A systematic review and meta-analysis of eyespot anti-predator mechanisms,nonmatch,nonmatch,nonmatch,0.5583756345177665
TM040,Q45,multi_agent_information_services,English/Latin,Reviewer #2 (Public review): Agent-based modeling reveals how bats navigate dense group emergences. CrossRef. 2026.,Reviewer #2 (Public review): Agent-based modeling reveals how bats navigate dense group emergences,match,match,match,1.0
TM041,Q26,multi_agent_information_services,English/Latin,"A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges. Vicinagearth. 2024.",A Survey on LLM-based Multi-Agent AI Hospital,nonmatch,nonmatch,nonmatch,0.75
TM042,Q136,digital_humanities,English/Latin,Delusions by design? How everyday AIs might be fuelling psychosis (and what can be done about it). OpenAlex. 2025.,"Energy Transitions in Cities: A Comparative Analysis of Policies and Strategies in Hong Kong, London, and Melbourne",nonmatch,nonmatch,nonmatch,0.4
TM043,Q66,multi_agent_information_services,English/Latin,"Multi-agent systems: A survey. A Dorri, SS Kanhere, R Jurdak - Ieee Access, 2018 - ieeexplore.ieee.org. 2018.",Multi-agent systems: A survey,nonmatch,match,nonmatch,1.0
TM044,Q56,multi_agent_information_services,English/Latin,A visual language model enabling intelligent nanomaterial scanning electron micrograph annotation.. Nanoscale. 2025.,A visual language model enabling intelligent nanomaterial scanning electron micrograph annotation.,match,match,match,1.0
TM045,Q199,biomedical_evidence_synthesis,English/Latin,"How effective is ‘greening’ of urban areas in reducing human exposure to ground-level ozone concentrations, UV exposure and the ‘urban heat island effect’? An updated systematic review. Environmental Evidence. 2021.","How effective is ‘greening’ of urban areas in reducing human exposure to ground-level ozone concentrations, UV exposure and the ‘urban heat island effect’? An updated systematic review",match,match,match,1.0
TM046,Q129,digital_humanities,English/Latin,"The impacts of decentralization on health system equity, efficiency and resilience: a realist synthesis of the evidence. Health Policy and Planning. 2019.","The impacts of decentralization on health system equity, efficiency and resilience: a realist synthesis of the evidence",match,match,match,1.0
TM047,Q39,multi_agent_information_services,English/Latin,"A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing. arXiv Preprint. 2026.",Multi-agent Searching System for Medical Information,nonmatch,nonmatch,nonmatch,0.5714285714285714
TM048,Q201,biomedical_evidence_synthesis,English/Latin,Effects of mosquito control using the microbial agent Bacillus thuringiensis israelensis (Bti) on aquatic and terrestrial ecosystems: a systematic review. Environmental Evidence. 2023.,Review on Consensus Control of Multi-Agent Systems,nonmatch,nonmatch,nonmatch,0.625
TM049,Q137,digital_humanities,English/Latin,Leveraging OpenAI’s LLMs and Cloud-based Learning-as-a-Service (LaaS) Solutions to Create Culturally Rich Conversational AI Chatbot: ChatLoS - A Study Using the Legacy of Slavery Dataset. OpenAlex. 2024.,Neural Approaches to Conversational AI,nonmatch,nonmatch,nonmatch,0.6
TM050,Q57,multi_agent_information_services,English/Latin,Parrot: Efficient Serving of LLM-based Applications with Semantic Variable. arXiv (Cornell University). 2024.,Human-centred learning analytics and AI in education: A systematic literature review,nonmatch,nonmatch,nonmatch,0.45161290322580644
TM051,Q06,multi_agent_information_services,English/Latin,ResearchPilot: A Local-First Multi-Agent System for Literature Synthesis and Related Work Drafting. Semantic Scholar. 2026.,Multi-agent Searching System for Medical Information,nonmatch,nonmatch,nonmatch,0.5714285714285714
TM052,Q39,multi_agent_information_services,English/Latin,"A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing. arXiv Preprint. 2026.","A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing",match,match,match,1.0
TM053,Q238,climate_policy_research,English/Latin,Editorial: Evidence synthesis for accelerated learning on climate solutions. Campbell Systematic Reviews. 2020.,Evidence Synthesis Methods,nonmatch,nonmatch,nonmatch,0.6666666666666666
TM054,Q85,multi_agent_information_services,English/Latin,What factors contribute to the acceptance of artificial intelligence? A systematic review. Telematics and Informatics. 2022.,Artificial intelligence and neuroscience: A systematic review,nonmatch,nonmatch,nonmatch,0.8333333333333334
TM055,Q190,biomedical_evidence_synthesis,English/Latin,Mapis: A Knowledge-Graph Grounded Multi-Agent Framework for Evidence-Based PCOS Diagnosis. arXiv Preprint. 2025.,Mapis: A Knowledge-Graph Grounded Multi-Agent Framework for Evidence-Based PCOS Diagnosis,match,match,match,1.0
TM056,Q60,multi_agent_information_services,English/Latin,"A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing. arXiv Preprint. 2026.",Multi-agent Searching System for Medical Information,nonmatch,nonmatch,nonmatch,0.5714285714285714
TM057,Q197,biomedical_evidence_synthesis,English/Latin,"Multi-Agent AI Systems in Healthcare: Systematic Evidence Synthesis Via PRISMA of Clinical Decision Support Systems, Robotic Interventions, and Critical Care. International Journal of Latest Technology in Engineering Management & Applied Science. 2025.","Multi-Agent AI Systems in Healthcare: Systematic Evidence Synthesis Via PRISMA of Clinical Decision Support Systems, Robotic Interventions, and Critical Care",match,match,nonmatch,1.0
TM058,Q68,multi_agent_information_services,English/Latin,"ChatGPT: A comprehensive review on background, applications, key challenges, bias, ethics, limitations and future scope. Internet of Things and Cyber-Physical Systems. 2023.","ChatGPT: A comprehensive review on background, applications, key challenges, bias, ethics, limitations and future scope",match,match,match,1.0
TM059,Q68,multi_agent_information_services,English/Latin,"ChatGPT: A comprehensive review on background, applications, key challenges, bias, ethics, limitations and future scope. Internet of Things and Cyber-Physical Systems. 2023.",Ethics and Floods: A Systematic Review.,nonmatch,nonmatch,nonmatch,0.6
TM060,Q182,biomedical_evidence_synthesis,English/Latin,Time to challenge the spurious hierarchy of systematic over narrative reviews?. European Journal of Clinical Investigation. 2018.,Time to challenge the spurious hierarchy of systematic over narrative reviews?,match,match,match,1.0
TM061,Q241,climate_policy_research,English/Latin,"LABMATE: Language Model Based Multi-Agent System to Accelerate Catalysis Experiments. SC25-W: Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis. 2025.",LABMATE: Language Model Based Multi-Agent System to Accelerate Catalysis Experiments,match,match,match,1.0
TM062,Q102,multi_agent_information_services,English/Latin,KARMA: Leveraging Multi-Agent LLMs for Automated Knowledge Graph Enrichment. arXiv.org. 2025.,KARMA: Leveraging Multi-Agent LLMs for Automated Knowledge Graph Enrichment,match,match,match,1.0
TM063,Q67,multi_agent_information_services,English/Latin,"ChatGPT: A comprehensive review on background, applications, key challenges, bias, ethics, limitations and future scope. Internet of Things and Cyber-Physical Systems. 2023.",Ethics and Floods: A Systematic Review.,nonmatch,nonmatch,nonmatch,0.6
TM064,Q198,biomedical_evidence_synthesis,English/Latin,How is Real World Evidence taught in Nursing? A Systematic review undertaking a narrative synthesis of the literature (Preprint). CrossRef. 2023.,How is Real World Evidence taught in Nursing? A Systematic review undertaking a narrative synthesis of the literature (Preprint),match,match,match,1.0
TM065,Q190,biomedical_evidence_synthesis,English/Latin,Mapis: A Knowledge-Graph Grounded Multi-Agent Framework for Evidence-Based PCOS Diagnosis. arXiv Preprint. 2025.,An Efficient Knowledge-Based Framework for Multi-Agent System,nonmatch,nonmatch,nonmatch,0.6666666666666666
TM066,Q56,multi_agent_information_services,English/Latin,A visual language model enabling intelligent nanomaterial scanning electron micrograph annotation.. Nanoscale. 2025.,Large language models facilitate the generation of electronic health record phenotyping algorithms,nonmatch,nonmatch,nonmatch,0.5047619047619047
TM067,Q10,multi_agent_information_services,English/Latin,Can ChatGPT Write a Good Boolean Query for Systematic Review Literature Search?. arXiv Preprint. 2023.,MeSH Term Suggestion for Systematic Review Literature Search,nonmatch,nonmatch,nonmatch,0.625
TM068,Q74,multi_agent_information_services,English/Latin,"6G Wireless Networks: Vision, Requirements, Architecture, and Key Technologies. IEEE Vehicular Technology Magazine. 2019.",Supporting Teachers to Implement Contextualized and Interactive Practices in Vocabulary Instruction,nonmatch,nonmatch,nonmatch,0.4225352112676056
TM069,Q30,multi_agent_information_services,English/Latin,Multi-Agent-Based Information Retrieval System Using Information Scent in Query Log Mining for Effective Web Search. Information Retrieval and Management. 2018.,Multi-Agent-Based Information Retrieval System Using Information Scent in Query Log Mining for Effective Web Search,match,match,match,1.0
TM070,Q210,climate_policy_research,English/Latin,Just energy business needed! How to achieve a just energy transition by engaging energy companies in reaching climate neutrality: (re)conceptualising energy law for energy corporations. Journal of Energy & Natural Resources Law. 2023.,Measuring the legitimacy of energy transition policy in the Netherlands,nonmatch,nonmatch,nonmatch,0.4444444444444444
TM071,Q204,climate_policy_research,English/Latin,"Rethink literature review of design research in an age of AI–from 'secretary work'to scholarly synthesis of insight, frameworks, and foresight. Journal of Engineering Design. 2026.","Rethink literature review of design research in an age of AI–from 'secretary work'to scholarly synthesis of insight, frameworks, and foresight",match,match,match,1.0
TM072,Q47,multi_agent_information_services,English/Latin,"The next generation of research on IS use: A theoretical framework of delegation to and from agentic IS artifacts. A Baird, LM Maruping - MIS quarterly, 2021 - misq.umn.edu. 2021.",The next generation of research on IS use: A theoretical framework of delegation to and from agentic IS artifacts,match,match,match,1.0
TM073,Q127,digital_humanities,English/Latin,Empirical Evaluation of the Energy Transition Efficiency in the EU-27 Countries over a Decade—A Non-Obvious Perspective. Energies. 2025.,Empirical Evaluation of the Energy Transition Efficiency in the EU-27 Countries over a Decade—A Non-Obvious Perspective,match,match,match,1.0
TM074,Q107,multi_agent_information_services,English/Latin,"The next generation of research on IS use: A theoretical framework of delegation to and from agentic IS artifacts. A Baird, LM Maruping - MIS quarterly, 2021 - misq.umn.edu. 2021.",The next generation of research on IS use: A theoretical framework of delegation to and from agentic IS artifacts,match,match,match,1.0
TM075,Q220,climate_policy_research,English/Latin,Open synthesis and the coronavirus pandemic in 2020. Journal of Clinical Epidemiology. 2020.,Trials and Evidence Synthesis,nonmatch,nonmatch,nonmatch,0.5
TM076,Q199,biomedical_evidence_synthesis,English/Latin,"How effective is ‘greening’ of urban areas in reducing human exposure to ground-level ozone concentrations, UV exposure and the ‘urban heat island effect’? An updated systematic review. Environmental Evidence. 2021.",How to Do Evidence Synthesis,nonmatch,nonmatch,nonmatch,0.6
TM077,Q26,multi_agent_information_services,English/Latin,"A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges. Vicinagearth. 2024.",Multi-agent systems: A survey,nonmatch,nonmatch,nonmatch,1.0
TM078,Q137,digital_humanities,English/Latin,"A multimodal turn in Digital Humanities. Using contrastive machine learning models to explore, enrich, and analyze digital visual historical collections. Digital Scholarship in the Humanities. 2023.",Visualization and the Digital Humanities:,nonmatch,nonmatch,nonmatch,0.8
TM079,Q249,climate_policy_research,English/Latin,"How effective is ‘greening’ of urban areas in reducing human exposure to ground-level ozone concentrations, UV exposure and the ‘urban heat island effect’? An updated systematic review. Environmental Evidence. 2021.",How to Do Evidence Synthesis,nonmatch,nonmatch,nonmatch,0.6
TM080,Q249,climate_policy_research,English/Latin,Open synthesis and the coronavirus pandemic in 2020. Journal of Clinical Epidemiology. 2020.,Open synthesis and the coronavirus pandemic in 2020,match,match,match,1.0
TM081,Q88,multi_agent_information_services,English/Latin,A Quality-Oriented Digital Twin Modelling Method for Manufacturing Processes Based on A Multi-Agent Architecture. Procedia Manufacturing. 2020.,A Quality-Oriented Digital Twin Modelling Method for Manufacturing Processes Based on A Multi-Agent Architecture,match,match,match,1.0
TM082,Q51,multi_agent_information_services,English/Latin,"A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing. arXiv Preprint. 2026.",Multi-agent Searching System for Medical Information,nonmatch,nonmatch,nonmatch,0.5714285714285714
